,pred_class,true_class
81152,0.4494664944141813,0
64559,0.4025048505084109,0
15833,0.39961815229815634,0
11625,0.38716167493348186,0
78802,0.3857030975684378,0
32948,0.3826184429408904,0
39420,0.3810264394853252,0
21233,0.38013458001829115,0
110509,0.3788403592730605,0
113269,0.3784678436060678,0
24626,0.37845758757073555,0
18805,0.37805044809696864,0
67710,0.37557071306201184,0
103609,0.3753201812998669,0
100088,0.37508281550249634,0
12520,0.3741908916472001,0
90205,0.3728061467663465,0
19909,0.3723397164453274,0
52338,0.37157990426840604,0
19778,0.3703103470074889,0
90654,0.37030759046621053,0
54237,0.36987822607720366,0
93310,0.3697307214239045,0
125438,0.3694133705964434,0
30692,0.369244605783261,0
10197,0.36908723663199483,0
54177,0.36846955618458954,0
104020,0.3683257370555687,0
1330,0.3681547973305672,0
124133,0.36812509584865716,0
115330,0.367728072928334,0
10419,0.3676540101749032,0
66216,0.3664830822601517,0
113551,0.3662787423465973,0
102247,0.36613909030513525,0
77288,0.3654580962602202,0
114835,0.36536576108114516,0
75971,0.36492750102263605,0
120640,0.3648157236274444,0
104154,0.36474125327566653,0
58653,0.3645726451145087,0
54581,0.3645473342384845,0
21614,0.36426930178451156,0
50372,0.3641825472288761,0
57903,0.3641665823016549,0
111874,0.36394117698204376,0
113078,0.3637404077886103,0
77967,0.36342493120489117,0
8632,0.3633538879885614,0
86007,0.3632173996740333,0
49452,0.3629311514977458,0
55684,0.36197324054094393,0
124237,0.36174781476343665,0
50698,0.3616656219257015,0
12217,0.36139219133054235,0
88710,0.36096643665379824,0
96069,0.36072709602576436,0
48449,0.36064175062809223,0
15295,0.3600980212231234,0
99971,0.35996976473203113,0
75996,0.35996075333164645,0
3668,0.3598251775532312,0
25158,0.35974096919052667,0
125712,0.3595788442681572,0
22523,0.35922862687651014,0
84014,0.3591021078107539,0
16069,0.3590713650028504,0
113812,0.3589404801106105,0
28895,0.35886511425530676,0
72244,0.35878219053484295,0
52174,0.35867574433913063,0
56908,0.3584334448089129,0
69823,0.357938635935795,0
60770,0.3579248603264519,0
97439,0.35782720665298895,0
102657,0.35758306261007566,0
50667,0.35755240030570845,0
112054,0.3574478943688313,0
40916,0.3573898998304432,0
45023,0.35728671280596924,0
67754,0.3571172089744673,0
62531,0.3565673729564297,0
74851,0.3564396884657546,0
13199,0.3561820812491042,0
1633,0.35611643734516296,0
69053,0.35596714435393684,0
19265,0.3557976413515588,0
70812,0.355676971363025,0
83306,0.35538253930855057,0
85994,0.3553676122065672,0
84235,0.35507440399517876,0
30171,0.3550143349930396,0
50828,0.35436342118413733,0
71096,0.35433771079830845,0
100936,0.35402729713976433,0
102956,0.35394819910060016,0
120458,0.3538001028757717,0
54514,0.3534990782827918,0
5187,0.3534524079241449,0
76700,0.3533904840471399,0
115807,0.35329507483682565,0
33830,0.3531215677088575,0
75467,0.35311899245119927,0
31971,0.3530924609887819,0
27656,0.3530567535240846,0
51532,0.352929857036521,0
84038,0.3527214819394816,0
80908,0.3526029197492815,0
79671,0.35254043333560103,0
55209,0.35229559087961626,0
9474,0.3517603325399078,0
108191,0.3515707721567214,0
122410,0.3513439857369395,0
101596,0.35133526508418467,0
105841,0.35129707059074045,0
130391,0.35119518213621514,0
96690,0.3511054931566844,0
73165,0.3510809473340559,0
7364,0.3508057528479074,0
44770,0.3507984197738965,0
97949,0.3507292424716295,0
47175,0.35068826676545717,0
107031,0.3506065758031084,0
83816,0.3505863960504162,0
91156,0.35045319082607995,0
31232,0.3504110673189288,0
28755,0.3502858595708688,0
101509,0.3502590857786221,0
30600,0.35008854201235917,0
65842,0.34994521285983093,0
40304,0.3497777034908449,0
7548,0.34974067349775084,0
68796,0.3497398946810637,0
55603,0.3497124884419295,0
123385,0.34954568158118193,0
104043,0.3495000776265472,0
110174,0.34938850123143217,0
11432,0.34936483253128126,0
125159,0.34923768804889876,0
93284,0.34917237504206156,0
40566,0.34917029621884244,0
50142,0.34913443495986507,0
102470,0.3490416398125641,0
4737,0.3490006791618828,0
120959,0.34899358595851127,0
65255,0.34880653771593584,0
54862,0.34861047095425934,0
95785,0.34851177797770727,0
101498,0.34851134411678686,0
122645,0.3482435335889835,0
71906,0.3480099342999353,0
47513,0.34792170998666705,0
91412,0.34784700317842476,0
115905,0.3476560134835015,0
123452,0.3476261752024692,0
15484,0.3475379593765734,0
76629,0.3475286640905765,0
100786,0.3472370683595981,0
22245,0.3471706037105935,0
18158,0.34710038207386495,0
85680,0.34708639792702745,0
67226,0.34694609992438286,0
110022,0.346865262305738,0
94129,0.34661225315522404,0
1699,0.3463430278049989,0
109674,0.3462989816629659,0
94707,0.346256690585937,0
127600,0.3462182578899283,0
126887,0.3461920268314813,0
62342,0.345948152819068,0
53626,0.3459471145276011,0
71436,0.34586798829980214,0
96142,0.34586766438670424,0
127022,0.3458025329802321,0
16464,0.3458007374733645,0
70561,0.34578283168096435,0
83342,0.34571964713547343,0
39302,0.34569915595619916,0
75252,0.3456931327608572,0
85320,0.3456648769129391,0
124208,0.34561161893398495,0
100176,0.34522605740648604,0
74195,0.3451547512805889,0
70715,0.3451218908242524,0
45153,0.34502151567312933,0
93623,0.3449858417456213,0
24280,0.3448287945894112,0
58643,0.3448060481565304,0
122988,0.34478440378176123,0
20001,0.3446649971017668,0
51891,0.34463785082725384,0
126881,0.3443787951869348,0
33227,0.34393179445751865,0
48140,0.3438164159310372,0
118800,0.3437666190165445,0
13050,0.3437431253213378,0
103764,0.3436482587282903,0
84854,0.3435777766940463,0
84027,0.3434621640633113,0
37491,0.34343512578661783,0
74581,0.3433455646885786,0
43638,0.34333136898094097,0
93980,0.34322102324193915,0
90500,0.34317946177027436,0
56499,0.3431313625274073,0
39161,0.34312485754743305,0
86105,0.3431110194603073,0
77380,0.3429806900892277,0
57452,0.3429006955516064,0
25889,0.34274361640978634,0
119244,0.34259354112555973,0
2463,0.3425691435710596,0
53225,0.3425437531243787,0
85640,0.34253526857598204,0
85821,0.3423655385833867,0
51762,0.34228982378486295,0
51618,0.3420487425706247,0
13600,0.3416482572602677,0
18337,0.3413743605326224,0
76202,0.341365353858454,0
116457,0.34125331223811484,0
113709,0.3412167330111233,0
76138,0.34119329510017327,0
9294,0.34115740444383236,0
47005,0.3411496724753751,0
44213,0.3410403532892633,0
5158,0.3410257803347757,0
21507,0.34100055254650263,0
23631,0.34098086300284913,0
59993,0.34097494441355847,0
126390,0.3409580314701053,0
9556,0.34090912275377006,0
124898,0.34080985592891544,0
108250,0.34036790847148235,0
23043,0.34032291503598966,0
84085,0.34024790045014186,0
90457,0.3400573872037582,0
65150,0.3399664959284867,0
51904,0.339774453187598,0
53002,0.3397396804307472,0
25091,0.3397260051330835,0
5245,0.33960400193482077,0
62523,0.3395580513439136,0
28391,0.3395315495101622,0
34241,0.33936710041510887,0
42924,0.33926927991655176,0
27111,0.3392074982244876,0
61150,0.33909963785409414,0
57864,0.33906944110049186,0
6051,0.3390341968863876,0
9130,0.3390272192765097,0
9028,0.33887329845748426,0
45610,0.33876803881000495,0
69072,0.3387389909575186,0
72836,0.33857407720201904,0
10480,0.33856888192345214,0
64919,0.3384853905443036,0
98865,0.33842866972317076,0
112592,0.3381462175485054,0
52492,0.3380889968747528,0
30017,0.3380884325573166,0
38037,0.33805765975277957,0
51369,0.3380516314969275,0
93688,0.3379575484489903,0
106346,0.337956013681729,0
72267,0.3378188080879917,0
41869,0.3377641800774702,0
22187,0.3376584891928932,0
104677,0.33746391170588397,0
125371,0.3373735072368712,0
